target,pred
-6.599999904632568359e+00,-2.128757983446121216e-01
-1.789999961853027344e+00,3.425140976905822754e-01
3.400000035762786865e-01,8.252751827239990234e-01
-1.120000004768371582e+00,2.700327336788177490e-01
-9.859999656677246094e+00,-2.858672738075256348e-01
-9.369999885559082031e+00,-3.608527779579162598e-01
-3.950000047683715820e+00,2.471689432859420776e-01
-3.519999980926513672e+00,3.392949700355529785e-01
-9.529999732971191406e+00,-1.176389575004577637e+00
-4.780000209808349609e+00,-2.103254199028015137e-02
-1.659999966621398926e+00,3.204625844955444336e-01
-4.090000152587890625e+00,1.935204863548278809e-01
-6.440000057220458984e+00,-1.083983629941940308e-01
-4.500000000000000000e+00,5.252659320831298828e-05
-3.240000009536743164e+00,1.122614219784736633e-01
-3.500000000000000000e+00,1.508238017559051514e-01
-7.670000076293945312e+00,-4.525870084762573242e-01
-4.590000152587890625e+00,-4.165211319923400879e-02
-6.130000114440917969e+00,-1.971454769372940063e-01
-1.000000014901161194e-01,6.420011520385742188e-01
-5.099999904632568359e+00,-2.392591536045074463e-02
-9.900000095367431641e-01,5.281428694725036621e-01
-2.670000076293945312e+00,2.838001847267150879e-01
-2.490000009536743164e+00,1.010582223534584045e-01
-3.299999952316284180e+00,8.304091542959213257e-02
-1.159999966621398926e+00,4.847092032432556152e-01
-4.000000000000000000e+00,2.906786650419235229e-02
-2.559999942779541016e+00,5.470352619886398315e-02
-2.480000019073486328e+00,7.543204724788665771e-02
-2.210000038146972656e+00,4.133295416831970215e-01
2.509999990463256836e+00,1.112504839897155762e+00
-8.829999923706054688e+00,-5.478469729423522949e-01
-2.400000095367431641e+00,1.413369029760360718e-01
-3.029999971389770508e+00,1.838195621967315674e-01
2.899999916553497314e-01,7.704050540924072266e-01
-2.690000057220458984e+00,7.476763427257537842e-02
2.480000019073486328e+00,1.187233209609985352e+00
2.970000028610229492e+00,1.175443768501281738e+00
2.109999895095825195e+00,1.082088589668273926e+00
-5.989999771118164062e+00,3.619424626231193542e-02
-3.410000085830688477e+00,1.047548130154609680e-01
-2.809999942779541016e+00,2.222299128770828247e-01
2.880000114440917969e+00,1.145082116127014160e+00
-2.500000000000000000e-01,6.014470458030700684e-01
-9.399999618530273438e+00,-1.172604680061340332e+00
-1.099999994039535522e-01,5.290280580520629883e-01
-7.809999942779541016e+00,-9.923984110355377197e-02
-5.110000133514404297e+00,6.165159866213798523e-02
-1.690000057220458984e+00,1.962030529975891113e-01
-9.939999580383300781e+00,-5.049581527709960938e-01
-1.139999985694885254e+00,4.154186844825744629e-01
1.320000052452087402e+00,7.552239894866943359e-01
-2.819999933242797852e+00,1.297065615653991699e-01
-6.500000000000000000e+00,-2.190059572458267212e-01
-2.740000009536743164e+00,1.653728336095809937e-01
2.299999952316284180e+00,1.008949875831604004e+00
-6.269999980926513672e+00,-1.742596179246902466e-01
-1.200000047683715820e+00,3.662480115890502930e-01
-1.990000009536743164e+00,3.728118538856506348e-01
-2.362000083923339844e+01,-2.232621908187866211e+00
-3.640000104904174805e+00,-3.984313458204269409e-02
-2.150000095367431641e+00,3.747189640998840332e-01
-5.719999790191650391e+00,-1.537829786539077759e-01
-5.880000114440917969e+00,-6.203975677490234375e-01
-4.399999976158142090e-01,2.872844040393829346e-01
-5.909999847412109375e+00,-2.113274186849594116e-01
-9.300000190734863281e+00,-9.782449901103973389e-02
-5.329999923706054688e+00,-1.821255236864089966e-01
-6.619999885559082031e+00,-2.926957607269287109e-01
-2.279999971389770508e+00,1.074294522404670715e-01
-7.579999923706054688e+00,-1.351447254419326782e-01
-2.750000000000000000e+00,2.219324260950088501e-01
-7.650000095367431641e+00,-4.866175651550292969e-01
-2.559999942779541016e+00,8.926969766616821289e-02
-8.999999761581420898e-01,7.260947227478027344e-01
-2.130000114440917969e+00,3.511627912521362305e-01
-4.579999923706054688e+00,4.804692417383193970e-02
-5.500000119209289551e-01,4.123073220252990723e-01
-3.640000104904174805e+00,2.846212983131408691e-01
2.339999914169311523e+00,1.110087037086486816e+00
-5.219999790191650391e+00,-1.080057024955749512e-02
-1.022000026702880859e+01,-5.274981260299682617e-01
1.800000071525573730e-01,7.492190599441528320e-01
-2.819999933242797852e+00,2.977460026741027832e-01
-3.670000076293945312e+00,2.038121223449707031e-03
2.549999952316284180e+00,1.158443808555603027e+00
-7.070000171661376953e+00,-4.301401972770690918e-01
-1.009999990463256836e+00,2.452425211668014526e-01
-4.739999771118164062e+00,4.319295287132263184e-03
-9.279999732971191406e+00,1.742009818553924561e-02
-5.899999737739562988e-01,4.572089910507202148e-01
-4.420000076293945312e+00,1.416213810443878174e-03
-4.440000057220458984e+00,-1.059437245130538940e-01
-9.619999885559082031e+00,-5.789610147476196289e-01
-3.519999980926513672e+00,4.505544155836105347e-02
-3.450000047683715820e+00,-1.220275312662124634e-01
1.000000014901161194e-01,6.428105831146240234e-01
-6.119999885559082031e+00,-3.406774997711181641e-01
-8.840000152587890625e+00,-6.796925067901611328e-01
