idx,num_bus
0,322
1,214
2,208
3,199
4,190
5,189
6,188
7,168
8,167
9,150
10,150
11,147
12,141
13,139
14,137
15,135
16,134
17,133
18,115
19,114
20,111
21,109
22,105
23,102
24,100
25,92
26,88
27,75
28,71
29,70
30,69
31,67
32,65
33,64
34,64
35,63
36,63
37,60
38,59
39,59
40,59
41,55
42,55
43,54
44,54
45,53
46,51
47,50
48,50
49,48
50,47
51,46
52,46
53,46
54,46
55,45
56,45
57,45
58,45
59,44
60,44
61,44
62,42
63,41
64,41
65,41
66,41
67,41
68,40
69,39
70,39
71,38
72,38
73,38
74,37
75,37
76,37
77,37
78,37
79,37
80,37
81,36
82,36
83,36
84,36
85,36
86,36
87,36
88,35
89,35
90,35
91,35
92,34
93,34
94,34
95,34
96,34
97,34
98,34
99,34
100,34
101,33
102,32
103,32
104,32
105,31
106,31
107,31
108,31
109,31
110,31
111,30
112,30
113,30
114,30
115,30
116,30
117,30
118,30
119,30
120,30
121,30
122,29
123,29
124,29
125,29
126,29
127,29
128,29
129,29
130,29
131,29
132,29
133,29
134,28
135,28
136,28
137,28
138,28
139,28
140,28
141,28
142,27
143,27
144,27
145,27
146,27
147,27
148,27
149,27
150,27
151,27
152,26
153,26
154,26
155,26
156,26
157,26
158,26
159,26
160,26
161,26
162,26
163,26
164,26
165,26
166,26
167,26
168,26
169,25
170,25
171,25
172,25
173,25
174,25
175,25
176,25
177,24
178,24
179,24
180,24
181,24
182,24
183,24
184,24
185,24
186,24
187,24
188,24
189,24
190,24
191,24
192,24
193,24
194,24
195,23
196,23
197,23
198,23
199,23
200,23
201,23
202,23
203,23
204,23
205,23
206,23
207,23
208,23
209,23
210,23
211,23
212,23
213,23
214,22
215,22
216,22
217,22
218,22
219,22
220,22
221,22
222,22
223,22
224,22
225,22
226,22
227,22
228,22
229,22
230,22
231,22
232,22
233,22
234,21
235,21
236,21
237,21
238,21
239,21
240,21
241,21
242,21
243,21
244,21
245,20
246,20
247,20
248,20
249,20
250,20
251,20
252,20
253,20
254,20
255,20
256,20
257,20
258,20
259,20
260,19
261,19
262,19
263,19
264,19
265,19
266,19
267,19
268,19
269,19
270,19
271,19
272,19
273,18
274,18
275,18
276,18
277,18
278,18
