idx,num_bus
0,111
1,59
2,54
3,46
4,44
5,34
6,31
7,29
8,29
9,28
10,26
11,26
12,24
13,24
14,23
15,18
16,17
17,17
18,17
19,16
20,16
21,16
22,16
23,15
24,15
25,15
26,15
27,14
28,14
29,14
30,13
31,13
32,13
33,13
34,13
35,12
36,12
37,12
38,12
39,12
40,11
41,11
42,11
43,11
44,11
45,11
46,11
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,9
58,9
59,9
60,9
61,9
62,9
63,8
64,8
65,8
66,8
67,7
68,7
69,7
70,7
71,7
72,7
73,6
74,6
75,6
76,6
77,6
78,6
79,5
80,5
81,5
82,4
83,4
84,4
85,4
86,3
87,3
88,3
89,3
90,3
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
