idx,num_bus
0,168
1,150
2,150
3,134
4,114
5,105
6,102
7,100
8,92
9,75
10,69
11,65
12,64
13,60
14,59
15,55
16,54
17,50
18,48
19,46
20,46
21,46
22,45
23,45
24,41
25,41
26,41
27,40
28,37
29,37
30,37
31,36
32,36
33,36
34,36
35,36
36,36
37,35
38,35
39,34
40,34
41,34
42,34
43,32
44,31
45,31
46,31
47,30
48,30
49,30
50,30
51,30
52,29
53,29
54,29
55,29
56,29
57,28
58,28
59,27
60,27
61,27
62,27
63,27
64,27
65,26
66,26
67,25
68,24
69,24
70,24
71,24
72,24
73,24
74,24
75,24
76,24
77,23
78,23
79,23
80,23
81,23
82,23
83,22
84,22
85,22
86,22
87,22
88,22
89,21
90,21
91,21
92,21
93,20
94,20
95,20
96,20
97,20
98,20
99,20
100,20
101,20
102,20
103,20
104,20
105,19
106,19
107,19
108,19
109,19
110,19
111,19
112,18
113,18
114,18
115,18
116,18
117,18
118,18
119,18
120,18
121,18
122,17
123,17
124,17
125,17
126,17
127,17
128,16
129,16
130,16
131,16
132,16
133,16
134,16
135,15
136,15
137,15
138,15
139,15
140,15
141,15
142,15
143,15
144,15
145,15
146,15
147,15
148,15
149,14
150,14
151,14
152,14
153,14
154,14
155,14
156,14
157,14
158,14
159,14
160,14
161,13
162,13
163,13
164,13
165,13
166,13
167,13
168,13
169,13
170,13
171,13
172,13
173,13
174,13
175,13
176,13
177,13
178,13
179,13
180,13
181,13
182,13
183,12
184,12
185,12
186,12
187,12
188,12
189,12
190,12
191,12
192,12
193,12
194,12
195,12
196,12
197,12
198,12
199,12
200,11
201,11
202,11
203,11
204,11
205,11
206,11
207,11
208,11
209,11
210,11
211,10
212,10
213,10
214,10
215,10
216,10
217,10
218,10
219,10
220,10
221,10
222,10
223,10
224,10
225,10
226,10
227,10
228,10
229,10
230,10
231,10
232,10
233,10
234,10
235,10
236,9
237,9
238,9
239,9
240,9
241,9
242,9
243,9
244,9
245,9
246,9
247,9
248,9
249,9
250,9
251,9
252,9
253,9
254,9
255,9
256,9
257,9
258,9
259,9
260,9
261,9
262,9
263,9
264,9
265,9
266,8
267,8
268,8
269,8
270,8
271,8
272,8
273,8
274,8
275,8
276,8
277,8
278,8
279,8
280,8
281,8
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,8
297,8
298,8
299,8
300,8
301,8
302,8
303,8
304,8
305,8
306,8
307,8
308,8
309,8
310,8
311,8
312,8
313,8
314,7
315,7
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,7
324,7
325,7
326,7
327,7
328,7
329,7
330,7
331,7
332,7
333,7
334,7
335,7
336,7
337,7
338,7
339,7
340,7
341,7
342,7
343,7
344,7
345,7
346,7
347,7
348,7
349,7
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,7
362,7
363,6
364,6
365,6
366,6
367,6
368,6
369,6
370,6
371,6
372,6
373,6
374,6
375,6
376,6
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,6
386,6
387,6
388,6
389,6
390,6
391,6
392,6
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,6
403,6
404,6
405,6
406,6
407,6
408,6
409,6
410,6
411,6
412,6
413,6
414,6
415,6
416,6
417,6
418,6
419,6
420,6
421,6
422,6
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,5
431,5
432,5
433,5
434,5
435,5
436,5
437,5
438,5
439,5
440,5
441,5
442,5
443,5
444,5
445,5
446,5
447,5
448,5
449,5
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,4
481,4
482,4
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,4
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
