순번,출발지 주소,중간집결지 주소,최종 도착지 주소,중간집결 기한,최종도착 기한,중간_최종거리
74,대전광역시 서구 정림서로 162-15,대전광역시 서구 구봉산북로94번길 77,대전광역시 서구 구봉산북로 184-105,1 days 14:00:00,1 days 14:00:00,1.207032469
119,충청북도 청주시 청원구 율봉로222번길 62,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
483,경상남도 창원시 성산구 원이대로878번길 10,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
600,경상남도 사천시 정동면 복상2길 45,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,5 days 14:00:00,5 days 14:00:00,0.877315457
619,광주광역시 북구 운암산길 48,광주광역시 북구  우치로 336,광주광역시 북구 우치로 339,28 days 14:00:00,28 days 14:00:00,0.047970155
713,경상남도 진주시 충의로 146,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,3 days 14:00:00,3 days 14:00:00,0.877315457
730,경상남도 창원시 성산구 창이대로 737,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 중원로 1,1 days 14:00:00,1 days 14:00:00,0.79177528
907,경상남도 진주시 진주역로73번길 33,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,3 days 14:00:00,3 days 14:00:00,0.877315457
1074,경기도 수원시 권선구 효원로94번길 15-6,충청남도 서산시 신정2로 10-10,충청남도 서산시 신성로 330-1,1 days 14:00:00,1 days 14:00:00,0.568263606
1166,경상남도 창원시 의창구 봉곡로4번길 19,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,7 days 14:00:00,7 days 14:00:00,0.877315457
1177,경상남도 창원시 성산구 용지로 229,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
1204,경상남도 통영시 봉수로 79,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
1250,경상남도 거제시 중곡2로 89,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,5 days 14:00:00,5 days 14:00:00,0.521513347
1274,충청북도 청주시 청원구 내수읍 마산3길 3,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
1420,경상남도 창원시 진해구 충장로603번길 10,경상남도 창원시 진해구 충무로 37,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.664821219
1759,경기도 의정부시 시민로254번안길 33,경기도 양주시 권율로847번길 권율로 847번길 108,경기도 양주시 권율로847번길 108,1 days 14:00:00,1 days 14:00:00,0.627980154
1940,대구광역시 동구 아양로 352,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
1969,부산광역시 사하구 하신중앙로 265,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
2611,경상남도 진주시 비봉로 6-1,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
2615,경상남도 창원시 진해구 행암로 5,경상남도 창원시 진해구 충무로 37,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.664821219
2832,경상남도 창원시 진해구 석동로39번안길 10-1,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
2934,서울특별시 용산구 신흥로3길 51-7,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,1 days 14:00:00,1 days 14:00:00,1.603601841
2985,충청북도 청주시 청원구 오창읍 양청택지로 98,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
2988,충청북도 청주시 흥덕구 오송읍 오송생명7로 151,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,5 days 14:00:00,5 days 14:00:00,1.827972811
2989,충청북도 충주시 신촌5길 14,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,3 days 14:00:00,3 days 14:00:00,1.827972811
3013,경상남도 김해시 덕정로 187,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
3414,경기도 파주시 평화로 280,경기도 고양시 덕양구 호국로 1718-16,경기도 고양시 덕양구 호국로 1718-19,1 days 14:00:00,1 days 14:00:00,0.042527429
3457,서울특별시 동작구 만양로8길 50,충청북도 청주시 청원구 외남로69번길 63,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.641613276
3458,서울특별시 영등포구 당산로42길 16,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,3 days 14:00:00,3 days 14:00:00,1.603601841
3557,인천광역시 연수구 먼우금로251번길 17,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
3594,광주광역시 서구 화운로 24,광주광역시 북구  우치로 336,광주광역시 북구 우치로 339,27 days 14:00:00,27 days 14:00:00,0.047970155
3854,경상남도 창원시 마산회원구 내서읍 죽암로 54,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
3872,강원특별자치도 춘천시 신북읍 왕뒤길 12,강원특별자치도 홍천군 꽃뫼로 71,강원특별자치도 인제군 응봉길 26-315,2 days 14:00:00,2 days 14:00:00,31.29728488
