idx,num_bus
0,114
1,54
2,40
3,36
4,35
5,34
6,32
7,30
8,25
9,23
10,21
11,21
12,20
13,20
14,20
15,20
16,16
17,16
18,15
19,15
20,15
21,14
22,14
23,13
24,13
25,12
26,12
27,12
28,11
29,11
30,11
31,11
32,11
33,11
34,10
35,10
36,10
37,10
38,10
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,8
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,3
103,3
104,2
105,2
106,2
107,2
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
